"pitch","midi","channel","on_tick","off_tick"
"dis'",63,4,68160,68928
"dis'",63,4,68928,69120
"cis'",61,4,69120,69504
"fis'",66,4,69504,69696
"fis'",66,4,69696,70656
"e'",64,4,71040,71232
"dis'",63,4,71232,71424
"cis'",61,4,71424,71616
"dis'",63,4,71616,71712
"e'",64,4,71712,72000
"ais'",70,4,72000,72192
"fis'",66,4,72192,73344
"dis'",63,3,73536,73632
"e'",64,3,73632,73728
"fis'",66,4,73728,74496
"fis'",66,3,73728,74112
"fis'",66,4,74112,74496
"g'",67,4,74496,74880
"g'",67,3,74496,74880
"g'",67,4,74880,75264
"dis''",75,3,74880,75072
"cis''",73,3,75072,75264
"gis'",68,4,75264,75648
"cis''",73,3,75264,75456
"b'",71,3,75456,75648
"e'",64,4,75648,75840
"gis'",68,3,75648,76416
"dis'",63,4,75840,76032
"e'",64,4,76032,76416
"e'",64,4,76608,76800
"gis'",68,3,76608,76800
"dis'",63,4,76800,77376
"fis'",66,3,76800,77376
"e'",64,4,77376,77568
"fis'",66,3,77376,77568
"fis'",66,4,77568,78144
"dis''",75,3,77568,78144
"fis'",66,4,78144,78336
"cis''",73,3,78144,78336
"b",59,4,78336,79488
"b'",71,3,78336,79488
"b'",71,4,79872,80640
"b'",71,3,79872,80256
"dis''",75,2,79872,80256
"b''",83,1,79872,80256
"ais'",70,4,80256,80448
"cis''",73,2,80256,80448
"fis''",78,1,80256,80640
"gis'",68,4,80448,80640
"b'",71,2,80448,80640
"fis'",66,4,80640,81408
"ais'",70,3,80640,80832
"cis''",73,2,80640,81024
"cis'''",85,1,80640,81216
"b'",71,3,80832,81024
"cis''",73,3,81024,81216
"e''",76,2,81024,81408
"ais'",70,3,81216,81408
"dis'''",87,1,81216,81408
"b",59,4,81408,81600
"b'",71,3,81408,82368
"dis''",75,2,81408,81600
"dis'''",87,1,81408,82368
"b",59,4,81600,81792
"dis''",75,2,81600,81792
"dis'",63,4,81792,81984
"fis''",78,2,81792,81984
"cis'",61,4,81984,82176
"e''",76,2,81984,82176
"b",59,4,82176,82752
"dis''",75,2,82176,82752
"b'",71,3,82560,82752
"b''",83,1,82560,82752
"ais'",70,3,82752,82944
"cis'''",85,1,82752,82944
"gis'",68,4,82944,83520
"b'",71,3,82944,83712
"dis''",75,2,82944,83520
"dis'''",87,1,82944,83712
"fis'",66,4,83520,83712
"fis''",78,2,83520,83712
"f'",65,4,83712,84480
"b'",71,3,83712,83904
"gis''",80,2,83712,84480
"gis''",80,1,83712,84096
"cis''",73,3,83904,84096
"dis''",75,3,84096,84288
"b''",83,1,84096,84480
"b'",71,3,84288,84480
"fis'",66,4,84480,84672
"cis''",73,3,84480,84864
"cis''",73,2,84480,84672
"cis'''",85,1,84480,85440
"f'",65,4,84672,84864
"cis''",73,2,84672,85440
"fis'",66,4,84864,85056
"dis''",75,2,84864,85056
"gis'",68,4,85056,85248
"f''",77,2,85056,85248
"ais'",70,4,85248,85632
"fis''",78,2,85248,85632
"b'",71,4,85632,85824
"b'",71,3,85632,85824
"b''",83,2,85632,85824
"b''",83,1,85632,85824
"ais'",70,4,85824,86016
"ais'",70,3,85824,86016
"ais''",82,2,85824,86016
"ais''",82,1,85824,86016
"gis'",68,4,86016,86592
"gis'",68,3,86016,86592
"gis''",80,2,86016,86592
"gis''",80,1,86016,86592
"gis'",68,4,86592,86784
"gis'",68,3,86592,86784
"gis''",80,2,86592,86784
"gis''",80,1,86592,86784
"gis'",68,4,86784,86976
"gis'",68,3,86784,86976
"gis''",80,2,86784,86976
"gis''",80,1,86784,86976
"ais'",70,4,86976,87168
"ais'",70,3,86976,87168
"ais''",82,2,86976,87168
"ais''",82,1,86976,87168
"b'",71,4,87168,87360
"b'",71,3,87168,87360
"b''",83,2,87168,87360
"b''",83,1,87168,87360
"gis'",68,4,87360,87552
"gis'",68,3,87360,87552
"gis''",80,2,87360,87552
"gis''",80,1,87360,87552
"fis'",66,4,87552,88512
"fis'",66,3,87552,88512
"fis''",78,2,87552,88512
"fis''",78,1,87552,88512
"c''",72,2,88704,88896
"dis''",75,1,88704,88896
"dis''",75,2,88896,89088
"fis''",78,1,88896,89088
"dis''",75,2,89088,89280
"fis''",78,1,89088,89280
"cis''",73,2,89280,89472
"e''",76,1,89280,89472
"e'",64,4,89472,89664
"gis'",68,3,89472,89664
"cis''",73,2,89472,90240
"e''",76,1,89472,90240
"gis'",68,4,89664,89856
"b'",71,3,89664,89856
"gis'",68,4,89856,90048
"b'",71,3,89856,90048
"fis'",66,4,90048,90240
"ais'",70,3,90048,90240
"fis'",66,4,90240,90624
"ais'",70,3,90240,90624
"cis''",73,2,90240,90432
"cis''",73,1,90240,90432
"e''",76,2,90432,90624
"gis''",80,1,90432,90624
"e''",76,2,90624,90816
"gis''",80,1,90624,90816
"b'",71,4,90816,91008
"dis''",75,3,90816,91008
